key_resp_beginning.keys,key_resp_beginning.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_instr_behavior.keys,key_resp_instr_behavior.rt,key_resp_instr_scales.keys,key_resp_instr_scales.rt
space,1.9231,7,001,2023-07-10_14h44.06.507,Experiment_Tuerk,2022.2.4,Win32,144.0507058,,,,
,,7,001,2023-07-10_14h44.06.507,Experiment_Tuerk,2022.2.4,Win32,144.0507058,space,3.4316,,
,,7,001,2023-07-10_14h44.06.507,Experiment_Tuerk,2022.2.4,Win32,144.0507058,,,space,3.1192
