"","trialN","symbol_left","symbol_right","switch_cond","reward_symbol1","reward_symbol2","optimal_response","optimal_symbol","V1","P1","V2","P2","Prob","Delta","response","reward","alphapos","alphaneg"
"1",1,"symbol_1","symbol_2",1,1,1,1,"symbol_left",0,0.5,0.1,0.5,NA,1,2,1,0.1,0.1
"2",2,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.450166002687522,0.09,0.549833997312478,NA,-0.1,2,0,0.1,0.1
"3",3,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.45512110762642,0.081,0.54487889237358,NA,-0.09,2,0,0.1,0.1
"4",4,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.1,0.45958834166338,0.081,0.54041165833662,NA,1,1,1,0.1,0.1
"5",5,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.19,0.509498856998382,0.081,0.490501143001618,NA,0.9,1,1,0.1,0.1
"6",6,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.271,0.554285182673468,0.081,0.445714817326532,NA,0.81,1,1,0.1,0.1
"7",7,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.3439,0.593873102934143,0.081,0.406126897065857,NA,0.729,1,1,0.1,0.1
"8",8,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.628502997073588,0.081,0.371497002926412,NA,0.6561,1,1,0.1,0.1
"9",9,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.468559,0.658590655430988,0.081,0.341409344569012,NA,0.59049,1,1,0.1,0.1
"10",10,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.5217031,0.684626978598166,0.081,0.315373021401834,NA,0.531441,1,1,0.1,0.1
"11",11,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.5217031,0.707113535510333,0.0729,0.292886464489667,NA,-0.081,2,0,0.1,0.1
"12",12,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.5217031,0.710457327690284,0.06561,0.289542672309716,NA,-0.0729,2,0,0.1,0.1
"13",13,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.56953279,0.713447318491841,0.06561,0.286552681508159,NA,0.4782969,1,1,0.1,0.1
"14",14,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.612579511,0.732598314168278,0.06561,0.267401685831722,NA,0.43046721,1,1,0.1,0.1
"15",15,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.6513215599,0.749122739177861,0.06561,0.250877260822139,NA,0.387420489,1,1,0.1,0.1
"16",16,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.68618940391,0.763402154981686,0.06561,0.236597845018314,NA,0.3486784401,1,1,0.1,0.1
"17",17,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.717570463519,0.775765657130456,0.06561,0.224234342869544,NA,0.31381059609,1,1,0.1,0.1
"18",18,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.7458134171671,0.786494129067884,0.06561,0.213505870932116,NA,0.282429536481,1,1,0.1,0.1
"19",19,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.77123207545039,0.795825810998761,0.06561,0.20417418900124,NA,0.2541865828329,1,1,0.1,0.1
"20",20,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.77123207545039,0.803962104731488,0.059049,0.196037895268512,NA,-0.06561,2,0,0.1,0.1
"21",21,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.77123207545039,0.806021978744499,0.0531441,0.193978021255501,NA,-0.059049,2,0,0.1,0.1
"22",22,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.794108867905351,0.807861776931232,0.0531441,0.192138223068768,NA,0.22876792454961,1,1,0.1,0.1
"23",23,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.814697981114816,0.814863848806493,0.0531441,0.185136151193507,NA,0.205891132094649,1,1,0.1,0.1
"24",24,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.814697981114816,0.820995658586868,0.04782969,0.179004341413132,NA,-0.0531441,2,0,0.1,0.1
