"","trialN","symbol_left","symbol_right","switch_cond","reward_symbol1","reward_symbol2","optimal_response","optimal_symbol","V1","P1","V2","P2","Prob","Delta","response","reward","alphapos","alphaneg"
"1",1,"symbol_1","symbol_2",1,1,1,1,"symbol_left",0,0.5,0.1,0.5,NA,1,2,1,0.1,0.1
"2",2,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.450166002687522,0.09,0.549833997312478,NA,-0.1,2,0,0.1,0.1
"3",3,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.45512110762642,0.081,0.54487889237358,NA,-0.09,2,0,0.1,0.1
"4",4,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.45958834166338,0.0729,0.54041165833662,NA,-0.081,2,0,0.1,0.1
"5",5,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.1,0.463614433115368,0.0729,0.536385566884632,NA,1,1,1,0.1,0.1
"6",6,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.19,0.513546683888984,0.0729,0.486453316111016,NA,0.9,1,1,0.1,0.1
"7",7,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.19,0.558283839251688,0.06561,0.441716160748312,NA,-0.0729,2,0,0.1,0.1
"8",8,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.271,0.561876194562271,0.06561,0.438123805437729,NA,0.81,1,1,0.1,0.1
"9",9,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.3439,0.601274893460843,0.06561,0.398725106539157,NA,0.729,1,1,0.1,0.1
"10",10,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.3439,0.635660849588224,0.059049,0.364339150411776,NA,-0.06561,2,0,0.1,0.1
"11",11,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.3439,0.638694410361024,0.0531441,0.361305589638976,NA,-0.059049,2,0,0.1,0.1
"12",12,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.64141519725685,0.0531441,0.35858480274315,NA,0.6561,1,1,0.1,0.1
"13",13,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.67100450651295,0.04782969,0.32899549348705,NA,-0.0531441,2,0,0.1,0.1
"14",14,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.673346618788996,0.043046721,0.326653381211004,NA,-0.04782969,2,0,0.1,0.1
"15",15,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.675447156759165,0.0387420489,0.324552843240835,NA,-0.043046721,2,0,0.1,0.1
"16",16,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.677331624417452,0.03486784401,0.322668375582549,NA,-0.0387420489,2,0,0.1,0.1
"17",17,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.468559,0.679022734345083,0.03486784401,0.320977265654917,NA,0.59049,1,1,0.1,0.1
"18",18,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.5217031,0.704200719795743,0.03486784401,0.295799280204257,NA,0.531441,1,1,0.1,0.1
"19",19,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.56953279,0.725850503831495,0.03486784401,0.274149496168505,NA,0.4782969,1,1,0.1,0.1
"20",20,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.612579511,0.744469458925158,0.03486784401,0.255530541074842,NA,0.43046721,1,1,0.1,0.1
"21",21,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.612579511,0.760500116411254,0.031381059609,0.239499883588745,NA,-0.03486784401,2,0,0.1,0.1
"22",22,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.6513215599,0.761767971722869,0.031381059609,0.238232028277131,NA,0.387420489,1,1,0.1,0.1
"23",23,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.68618940391,0.775543300018732,0.031381059609,0.224456699981268,NA,0.3486784401,1,1,0.1,0.1
"24",24,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.717570463519,0.787449006941496,0.031381059609,0.212550993058504,NA,0.31381059609,1,1,0.1,0.1
