"","trialN","symbol_left","symbol_right","switch_cond","reward_symbol1","reward_symbol2","optimal_response","optimal_symbol","V1","P1","V2","P2","Prob","Delta","response","reward","alphapos","alphaneg"
"34",34,"symbol_1","symbol_2",2,0,0,2,"symbol_right",0.603765236697264,0.772696905637511,0.059049,0.227303094362489,NA,-0.67085026299696,1,0,0.1,0.1
"35",35,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.603765236697264,0.74827483758292,0.1531441,0.25172516241708,NA,0.940951,2,1,0.1,0.1
"36",36,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.543388713027538,0.711204723274214,0.1531441,0.288795276725786,NA,-0.603765236697264,1,0,0.1,0.1
"37",37,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.543388713027538,0.685785543774792,0.23782969,0.314214456225208,NA,0.8468559,2,1,0.1,0.1
"38",38,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.489049841724784,0.648195801296153,0.23782969,0.351804198703847,NA,-0.543388713027538,1,0,0.1,0.1
"39",39,"symbol_1","symbol_2",2,0,0,2,"symbol_right",0.440144857552305,0.623032639960491,0.23782969,0.376967360039509,NA,-0.489049841724784,1,0,0.1,0.1
"40",40,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.396130371797075,0.599799637765084,0.23782969,0.400200362234916,NA,-0.440144857552305,1,0,0.1,0.1
"41",41,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.356517334617367,0.578495755852428,0.23782969,0.421504244147572,NA,-0.396130371797075,1,0,0.1,0.1
"42",42,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.320865601155631,0.559066729538285,0.23782969,0.440933270461715,NA,-0.356517334617367,1,0,0.1,0.1
"43",43,"symbol_1","symbol_2",2,0,0,2,"symbol_right",0.288779041040068,0.541422796433859,0.23782969,0.458577203566141,NA,-0.320865601155631,1,0,0.1,0.1
"44",44,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.259901136936061,0.525452655687283,0.23782969,0.474547344312717,NA,-0.288779041040068,1,0,0.1,0.1
"45",45,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.259901136936061,0.511033931804115,0.314046721,0.488966068195885,NA,0.76217031,2,1,0.1,0.1
"46",46,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.233911023242455,0.472953633813272,0.314046721,0.527046366186728,NA,-0.259901136936061,1,0,0.1,0.1
"47",47,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.210519920918209,0.460017699683166,0.314046721,0.539982300316834,NA,-0.233911023242455,1,0,0.1,0.1
"48",48,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.210519920918209,0.448420740461329,0.3826420489,0.551579259538671,NA,0.685953279,2,1,0.1,0.1
"49",49,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.210519920918209,0.414778866358587,0.44437784401,0.585221133641413,NA,0.6173579511,2,1,0.1,0.1
"50",50,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.210519920918209,0.385157014471173,0.499940059609,0.614842985528827,NA,0.55562215599,2,1,0.1,0.1
"51",51,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.189467928826388,0.359199489458442,0.499940059609,0.640800510541558,NA,-0.210519920918209,1,0,0.1,0.1
"52",52,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.189467928826388,0.349566724349337,0.5499460536481,0.650433275650662,NA,0.500059940391,2,1,0.1,0.1
"53",53,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.189467928826388,0.327182445007838,0.59495144828329,0.672817554992162,NA,0.4500539463519,2,1,0.1,0.1
"54",54,"symbol_1","symbol_2",2,1,1,2,"symbol_right",0.270521135943749,0.307684463859634,0.59495144828329,0.692315536140366,NA,0.810532071173612,1,1,0.1,0.1
"55",55,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.243469022349375,0.343246338863588,0.59495144828329,0.656753661136412,NA,-0.270521135943749,1,0,0.1,0.1
"56",56,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.243469022349375,0.331155210109703,0.635456303454961,0.668844789890297,NA,0.40504855171671,2,1,0.1,0.1
"57",57,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.243469022349375,0.313463909741421,0.671910673109465,0.686536090258579,NA,0.364543696545039,2,1,0.1,0.1
"58",58,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.243469022349375,0.29799092432032,0.704719605798518,0.70200907567968,NA,0.328089326890535,2,1,0.1,0.1
"59",59,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.243469022349375,0.284448538529196,0.734247645218667,0.715551461470804,NA,0.295280394201482,2,1,0.1,0.1
"60",60,"symbol_1","symbol_2",2,0,1,2,"symbol_right",0.243469022349375,0.272582901368699,0.7608228806968,0.7274170986313,NA,0.265752354781333,2,1,0.1,0.1
"61",61,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.243469022349375,0.262172433590261,0.68474059262712,0.737827566409738,NA,-0.7608228806968,2,0,0.1,0.1
"62",62,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.319122120114437,0.29265105503031,0.68474059262712,0.70734894496969,NA,0.756530977650625,1,1,0.1,0.1
"63",63,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.319122120114437,0.324923347059849,0.616266533364408,0.675076652940151,NA,-0.68474059262712,2,0,0.1,0.1
"64",64,"symbol_1","symbol_2",3,1,1,1,"symbol_left",0.319122120114437,0.355651404554334,0.654639880027967,0.644348595445666,NA,0.383733466635592,2,1,0.1,0.1
"65",65,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.319122120114437,0.338265009376109,0.58917589202517,0.661734990623891,NA,-0.654639880027967,2,0,0.1,0.1
"66",66,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.387209908102993,0.368162565184763,0.58917589202517,0.631837434815237,NA,0.680877879885563,1,1,0.1,0.1
"67",67,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.387209908102993,0.400368010012327,0.530258302822653,0.599631989987673,NA,-0.58917589202517,2,0,0.1,0.1
"68",68,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.448488917292694,0.428959705030884,0.530258302822653,0.571040294969116,NA,0.612790091897007,1,1,0.1,0.1
"69",69,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.503640025563425,0.459206185708198,0.530258302822653,0.540793814291802,NA,0.551511082707306,1,1,0.1,0.1
"70",70,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.503640025563425,0.486694003799689,0.477232472540388,0.513305996200311,NA,-0.530258302822653,2,0,0.1,0.1
"71",71,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.503640025563425,0.513200708110595,0.429509225286349,0.486799291889405,NA,-0.477232472540388,2,0,0.1,0.1
"72",72,"symbol_1","symbol_2",3,1,1,1,"symbol_left",0.503640025563425,0.53699765295524,0.486558302757714,0.46300234704476,NA,0.570490774713651,2,1,0.1,0.1
"73",73,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.553276023007082,0.50854003080066,0.486558302757714,0.49145996919934,NA,0.496359974436575,1,1,0.1,0.1
"74",74,"symbol_1","symbol_2",3,1,0,1,"symbol_left",0.597948420706374,0.533309451838995,0.486558302757714,0.466690548161005,NA,0.446723976992918,1,1,0.1,0.1
