"","trialN","symbol_left","symbol_right","switch_cond","reward_symbol1","reward_symbol2","optimal_response","optimal_symbol","V1","P1","V2","P2","Prob","Delta","response","reward","alphapos","alphaneg"
"1",1,"symbol_1","symbol_2",1,1,1,1,"symbol_left",0,0.5,0.1,0.5,NA,1,2,1,0.1,0.1
"2",2,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.450166002687522,0.09,0.549833997312478,NA,-0.1,2,0,0.1,0.1
"3",3,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.45512110762642,0.081,0.54487889237358,NA,-0.09,2,0,0.1,0.1
"4",4,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.45958834166338,0.0729,0.54041165833662,NA,-0.081,2,0,0.1,0.1
"5",5,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0,0.463614433115368,0.06561,0.536385566884632,NA,-0.0729,2,0,0.1,0.1
"6",6,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.1,0.467241990679285,0.06561,0.532758009320715,NA,1,1,1,0.1,0.1
"7",7,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.1,0.517188224522996,0.059049,0.482811775477004,NA,-0.06561,2,0,0.1,0.1
"8",8,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.1,0.520464061974461,0.0531441,0.479535938025539,NA,-0.059049,2,0,0.1,0.1
"9",9,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.1,0.523410819880987,0.04782969,0.476589180119013,NA,-0.0531441,2,0,0.1,0.1
"10",10,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.19,0.526061515055638,0.04782969,0.473938484944362,NA,0.9,1,1,0.1,0.1
"11",11,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.19,0.570610061946102,0.043046721,0.429389938053898,NA,-0.04782969,2,0,0.1,0.1
"12",12,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.19,0.572952252878731,0.0387420489,0.427047747121269,NA,-0.043046721,2,0,0.1,0.1
"13",13,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.271,0.575057434523498,0.0387420489,0.424942565476502,NA,0.81,1,1,0.1,0.1
"14",14,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.271,0.614084925376857,0.03486784401,0.385915074623143,NA,-0.0387420489,2,0,0.1,0.1
"15",15,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.3439,0.615919548457078,0.03486784401,0.384080451542921,NA,0.729,1,1,0.1,0.1
"16",16,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.3439,0.649778178642676,0.031381059609,0.350221821357324,NA,-0.03486784401,2,0,0.1,0.1
"17",17,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.3439,0.651363467028101,0.0282429536481,0.348636532971899,NA,-0.031381059609,2,0,0.1,0.1
"18",18,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.652787368984632,0.0282429536481,0.347212631015368,NA,0.6561,1,1,0.1,0.1
"19",19,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.40951,0.681903659719925,0.02541865828329,0.318096340280075,NA,-0.0282429536481,2,0,0.1,0.1
"20",20,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.468559,0.683127640620606,0.02541865828329,0.316872359379394,NA,0.59049,1,1,0.1,0.1
"21",21,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.468559,0.708122040291882,0.022876792454961,0.291877959708118,NA,-0.02541865828329,2,0,0.1,0.1
"22",22,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.5217031,0.709171659672893,0.022876792454961,0.290828340327107,NA,0.531441,1,1,0.1,0.1
"23",23,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.56953279,0.73059680449821,0.022876792454961,0.26940319550179,NA,0.4782969,1,1,0.1,0.1
"24",24,"symbol_1","symbol_2",1,1,0,1,"symbol_left",0.612579511,0.749004878674997,0.022876792454961,0.250995121325003,NA,0.43046721,1,1,0.1,0.1
