"PartNum","alpha","alphapos","alphaneg","alphagain","alphaloss","rho","rhogain","rholoss","BIC","LogLikel"
1,0.141720099780539,NA,NA,NA,NA,0.203544089647317,NA,NA,185.10214758075,-87.6990435264555
10,1,NA,NA,NA,NA,1,NA,NA,195.169338346863,-92.732638909512
11,1,NA,NA,NA,NA,0.599136218062736,NA,NA,195.302336244237,-92.7991378581989
12,1,NA,NA,NA,NA,0.440603709841552,NA,NA,194.960911951233,-92.628425711697
13,1,NA,NA,NA,NA,0.202553527024912,NA,NA,193.832945503077,-92.064442487619
14,1,NA,NA,NA,NA,0.653858969829145,NA,NA,189.19995253211,-89.7479460021352
15,0.599689262244608,NA,NA,NA,NA,0.507272330920006,NA,NA,195.400882510995,-92.848410991578
16,0.422812824595902,NA,NA,NA,NA,1,NA,NA,193.497169293035,-91.896554382598
17,0.089739085877612,NA,NA,NA,NA,0.0577099077549845,NA,NA,193.748698137936,-92.0223188050482
18,0.000653462995811486,NA,NA,NA,NA,0.877940240435102,NA,NA,194.185922080395,-92.2409307762778
19,0.858520896151312,NA,NA,NA,NA,0.669752137600406,NA,NA,192.836967413932,-91.5664534430463
2,1,NA,NA,NA,NA,0.678478573830368,NA,NA,194.859173031275,-92.5775562517179
20,0.150225689163348,NA,NA,NA,NA,0,NA,NA,192.407495656479,-91.35171756432
21,1,NA,NA,NA,NA,0.916448079748735,NA,NA,194.34926190487,-92.3226006885152
22,0.249612321126558,NA,NA,NA,NA,0,NA,NA,193.963129285215,-92.1295343786879
23,1,NA,NA,NA,NA,0.576937458196022,NA,NA,194.114488066474,-92.2052137693174
24,0.00081875866478061,NA,NA,NA,NA,0.461170936737093,NA,NA,194.762583462561,-92.5292614673609
25,1,NA,NA,NA,NA,1,NA,NA,188.880482195303,-89.5882108337318
26,0.603312666092758,NA,NA,NA,NA,0.0528313017426615,NA,NA,191.576430701488,-90.9361850868245
27,0.564296089354541,NA,NA,NA,NA,1,NA,NA,192.476289255257,-91.386114363709
28,0.134640007747077,NA,NA,NA,NA,0.0895238583152695,NA,NA,195.085502288062,-92.6907208801114
29,1,NA,NA,NA,NA,0.141030620717822,NA,NA,189.54964278045,-89.9227911263053
3,1,NA,NA,NA,NA,0.066194596993972,NA,NA,192.42321121971,-91.3595753459352
30,0.314951715622428,NA,NA,NA,NA,0.407686672057673,NA,NA,195.065673400792,-92.6808064364764
31,1,NA,NA,NA,NA,0.04931676061393,NA,NA,184.460131949904,-87.3780357110322
32,0.494906785830964,NA,NA,NA,NA,1,NA,NA,192.560440303719,-91.4281898879397
33,1,NA,NA,NA,NA,1,NA,NA,193.458298071382,-91.8771187717716
34,0.222252107861305,NA,NA,NA,NA,1,NA,NA,193.183310781039,-91.7396251265996
35,0.491393443376793,NA,NA,NA,NA,1,NA,NA,195.090287234568,-92.6931133533642
36,1,NA,NA,NA,NA,1,NA,NA,191.495836881786,-90.8958881769732
37,0.000524198751921376,NA,NA,NA,NA,0.806245758191829,NA,NA,192.29495817704,-91.2954488246002
38,0.819575037119563,NA,NA,NA,NA,1,NA,NA,190.139732754722,-90.2178361134413
39,0.000869433057829695,NA,NA,NA,NA,1,NA,NA,195.148132268228,-92.7220358701944
4,0.299117111666603,NA,NA,NA,NA,1,NA,NA,194.02034536441,-92.1581424182854
5,0.0892479730903615,NA,NA,NA,NA,0.191941423930848,NA,NA,192.896421045303,-91.5961802587319
6,0.268592887098757,NA,NA,NA,NA,1,NA,NA,194.431741077713,-92.3638402749369
7,1,NA,NA,NA,NA,1,NA,NA,194.746448926938,-92.5211941995494
8,1,NA,NA,NA,NA,0.0661943854879268,NA,NA,192.423211219589,-91.3595753458748
9,1,NA,NA,NA,NA,1,NA,NA,195.371511936943,-92.833725704552
