"","CorrRej","FA","HIT","Miss","HITrate","FArate","dprime","beta","aprime","bppd","c","hitMinFA","participant"
"1",118,10,45,83,0.3515625,0.078125,1.01774128887303,2.46603273208781,0.768596986817326,0.519837232960326,0.886876348513152,0.2734375,1
"2",111,17,63,65,0.4921875,0.1328125,1.08060035377049,1.83097255133107,0.786143286143286,0.369107321965898,0.559732626765067,0.359375,10
"3",111,17,48,80,0.375,0.1328125,0.783947794031581,1.74208246730911,0.731278153153153,0.341016238868518,0.70805890663452,0.2421875,11
"4",72,56,112,16,0.875,0.4375,1.29242205061522,0.53075510851306,0.819444444444444,-0.384615384615385,-0.490129793947782,0.4375,2
"5",108,20,100,28,0.78125,0.15625,1.76798356435351,1.22532456431376,0.885185185185185,0.129032258064516,0.114936452725473,0.625,2
"6",117,11,88,40,0.6875,0.0859375,1.83069952562973,2.19995361122889,0.883279914529915,0.464530892448513,0.430674866792082,0.6015625,6
"7",101,27,80,48,0.625,0.2109375,1.1115267476398,1.30526869044143,0.796813118811881,0.169483782549109,0.239678364201172,0.4140625,9
