"PartNum","alpha","alphapos","alphaneg","alphagain","alphaloss","rho","rhogain","rholoss","BIC","LogLikel"
11,NA,NA,NA,1,0.0225106318639286,NA,1,0.51892385624286,194.994507863116,-87.7931934037186
24,NA,NA,NA,0.416313567694585,0.0570403466014902,NA,0,0.313747497226551,199.186760843531,-89.8893198939262
27,NA,NA,NA,0.0386661126309301,0.317957088860721,NA,1,0.548146203442974,204.108605635628,-92.3502422899747
28,NA,NA,NA,0.952293148913924,0,NA,0.410089298793294,0.197019374905888,203.332573624282,-91.9622262843018
29,NA,NA,NA,0.0183164039852708,1,NA,0,0.329197079443429,200.922147029471,-90.7570129868961
31,NA,NA,NA,0.935629041334457,1,NA,1,0.39574673292588,195.487838315759,-88.03985863004
32,NA,NA,NA,1,0.468697908849234,NA,0.330756061533701,0.102681687834211,204.584334189445,-92.5881065668833
33,NA,NA,NA,0,0.562456979269225,NA,0.405310109890197,0.690039425895261,201.943271316395,-91.2675751303581
34,NA,NA,NA,0.101805855905415,1,NA,0,0.271929092942105,200.852427967732,-90.7221534560269
36,NA,NA,NA,1,0.163159876532175,NA,0.528496266996049,0.406293418916026,202.091483066459,-91.3416810053905
39,NA,NA,NA,0.023637370457429,1,NA,0,0.586006092481427,196.001088478492,-88.2964837114066
12,NA,NA,NA,1,0.628509908985682,NA,0,1,204.812468971469,-92.7021739578951
39,NA,NA,NA,1,0.067595374816155,NA,0.567150357665943,1,202.779546970298,-91.6857129573099
4,NA,NA,NA,1,0.19984269812682,NA,0.782016342165672,0.225400875425569,199.966128027053,-90.2790034856874
4,NA,NA,NA,1,0.187652514436789,NA,0.345410416594264,0.0733245001435448,201.225237563664,-90.9085582539927
42,NA,NA,NA,0.354218943864883,1,NA,1,0,203.443331602096,-92.0176052732087
44,NA,NA,NA,1,0.00889568010250777,NA,1,0,201.699272913998,-91.1455759291595
47,NA,NA,NA,0.0343419188318561,1,NA,0,0.437745838613127,188.512336844179,-84.5521078942505
47,NA,NA,NA,0.061460689252821,1,NA,0,0.298555647469434,197.636516520434,-89.1141977323777
49,NA,NA,NA,0.417014743354021,0.581315450874152,NA,1,0.639371214034772,201.582562575125,-91.0872207597232
5,NA,NA,NA,0.0156595871741917,1,NA,0,0.328077780130858,201.809782583472,-91.2008307638968
50,NA,NA,NA,1,1,NA,0.099983224020509,0.151616970988847,199.031678310069,-89.8117786271951
16,NA,NA,NA,0.549698040582964,1,NA,0,0.101478469814064,200.154034910386,-90.3729569273536
54,NA,NA,NA,0.818584931876537,0.0756482725341768,NA,1,0.675457930345098,201.483570764327,-91.0377248543245
56,NA,NA,NA,0.538957866262955,1,NA,0,0.0763685891397712,192.62348736753,-86.6076831559257
57,NA,NA,NA,0,1,NA,0.332418417868325,0.706843970540605,201.720091233594,-91.1559850889578
58,NA,NA,NA,0.0502724578518686,1,NA,0,0.31222058910159,199.876280413867,-90.2340796790943
59,NA,NA,NA,0,0.000799711667797307,NA,0.974468319429683,0.739115166443417,197.279304351581,-88.9355916479512
6,NA,NA,NA,0,1,NA,1,1,203.890697574719,-92.2412882595204
60,NA,NA,NA,1,1,NA,1,0.620867957625805,200.66787417664,-90.629876560481
62,NA,NA,NA,0.963103332365905,1,NA,1,0,201.830858455611,-91.2113686999664
7,NA,NA,NA,0.0255371910568393,1,NA,0,0.53065514720275,194.739266582257,-87.6655727632893
8,NA,NA,NA,0.463816448782432,0.0460820879022584,NA,0,0.567785935717279,204.526275420836,-92.5590771825788
16,NA,NA,NA,-5.55111512312578e-17,0.338174675006197,NA,0.988427646141592,0.881776493760747,203.129140251052,-91.8605095976866
18,NA,NA,NA,0.050016660981678,1,NA,0,0.364288015888258,199.073190388538,-89.8325346664296
19,NA,NA,NA,0.222127859219229,0.0783316906047109,NA,1,0.532368950289655,201.290226870886,-90.9410529076038
21,NA,NA,NA,1,0.0518601797691174,NA,0.263145481721722,0.269997307487099,202.468210621632,-91.5300447829768
22,NA,NA,NA,0.69883488293979,1,NA,0,0.151910856568098,198.260684406906,-89.4262816756139
24,NA,NA,NA,0.956863950977904,0.478763223786849,NA,0.574947764348232,0,203.675608685063,-92.1337438146924
