"PartNum","alpha","alphapos","alphaneg","alphagain","alphaloss","rho","rhogain","rholoss","BIC","LogLikel"
1,NA,NA,NA,0.183045557020301,0.117996493944932,0.193358580515401,NA,NA,189.72443681387,-87.5841730110556
10,NA,NA,NA,0.428007574460429,0.0127902302362133,0,NA,NA,195.406187408904,-90.4250483085724
11,NA,NA,NA,0.1962950931611,0.181554021743969,0,NA,NA,198.134987183664,-91.7894481959527
12,NA,NA,NA,0.952338626811178,0,0.41005607663592,NA,NA,198.480543355728,-91.9622262819846
13,NA,NA,NA,0.0254125305903186,1,0.34405231595591,NA,NA,196.137064137034,-90.7904866726378
14,NA,NA,NA,1,1,0.653846751440591,NA,NA,194.051982795941,-89.747946002091
15,NA,NA,NA,0,1,1,NA,NA,200.184867254507,-92.8143882313741
16,NA,NA,NA,0,0.56289264332187,0.689808000443064,NA,NA,197.091239988459,-91.2675745983499
17,NA,NA,NA,0.119142751470595,1,0.269542968894417,NA,NA,197.128153660364,-91.2860314343026
18,NA,NA,NA,1,0.154936693658567,0.471182270567105,NA,NA,197.384439286501,-91.4141742473709
19,NA,NA,NA,0,1,0.833230175373923,NA,NA,191.49341241612,-88.4686608121805
2,NA,NA,NA,0,0.623125719145769,1,NA,NA,199.843297737688,-92.6436034729646
20,NA,NA,NA,1,0.0922167429192736,1,NA,NA,198.307511805883,-91.8757105070621
21,NA,NA,NA,1,0,1,NA,NA,195.931009447929,-90.6874593280853
22,NA,NA,NA,0,0.488772069866283,1,NA,NA,199.936509837958,-92.6902095230994
23,NA,NA,NA,0,1,1,NA,NA,197.312290717543,-91.3780999628921
24,NA,NA,NA,1,0,1,NA,NA,197.007285092212,-91.2255971502268
25,NA,NA,NA,0.065127534587123,1,0.451047545626256,NA,NA,184.451818050153,-84.947863629197
26,NA,NA,NA,0.155096931397856,1,0.249084170400519,NA,NA,193.24390943895,-89.3439093235955
27,NA,NA,NA,0.499824523744126,0.607922527338544,1,NA,NA,197.288654810474,-91.3662820093573
28,NA,NA,NA,1,0.0346730342396973,0.761271446630625,NA,NA,197.600603172194,-91.5222561902176
29,NA,NA,NA,1,1,0.141029622585602,NA,NA,194.401673043445,-89.922791125843
3,NA,NA,NA,0.530953043533498,1,0.0866553935519869,NA,NA,196.197107274085,-90.8205082411629
30,NA,NA,NA,0.11131580695613,0.460505696292868,0,NA,NA,199.888610580641,-92.6662598944412
31,NA,NA,NA,0.503859383829566,0.211977540947938,0.0888422436691413,NA,NA,190.079964688299,-87.7619369482699
32,NA,NA,NA,0.326456656594493,1,1,NA,NA,196.580885053208,-91.0123971307247
33,NA,NA,NA,0.0540298284516921,1,0.340918080874909,NA,NA,196.045371988512,-90.7446405983763
34,NA,NA,NA,0.608594995412888,0.119501157542601,1,NA,NA,197.772004653874,-91.6079569310575
35,NA,NA,NA,0,1,1,NA,NA,199.0386673108,-92.2412882595205
36,NA,NA,NA,1,1,1,NA,NA,196.347867145705,-90.8958881769732
37,NA,NA,NA,0.309379836782744,0,0,NA,NA,198.323956158744,-91.8839326834927
38,NA,NA,NA,0.0372939324392875,1,0.607128828634201,NA,NA,190.283554746511,-87.8637319773758
39,NA,NA,NA,0.471692619511952,0,0,NA,NA,199.850504324408,-92.6472067663244
4,NA,NA,NA,0.574276414027364,1,0,NA,NA,197.493205517607,-91.4685573629243
5,NA,NA,NA,0.0801495633021498,0.097456977845805,0.206713699178587,NA,NA,197.727406319151,-91.5856577636959
6,NA,NA,NA,0.985888571556873,0.14303518329345,0.604535109705154,NA,NA,198.474695223167,-91.9593022157043
7,NA,NA,NA,1,1,0,NA,NA,198.21382258148,-91.8288658948606
8,NA,NA,NA,0.379711775772516,1,0.183677940360305,NA,NA,195.949743694593,-90.6968264514172
9,NA,NA,NA,0.00684064846221731,1,1,NA,NA,199.271382799562,-92.3576460039018
